UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_Rolling_Mean,Air temperature [K]_Volatility,Air temperature [K]_Delta,Process temperature [K]_Rolling_Mean,Process temperature [K]_Volatility,Process temperature [K]_Delta,Rotational speed [rpm]_Rolling_Mean,Rotational speed [rpm]_Volatility,Rotational speed [rpm]_Delta,Torque [Nm]_Rolling_Mean,Torque [Nm]_Volatility,Torque [Nm]_Delta,Tool wear [min]_Rolling_Mean,Tool wear [min]_Volatility,Tool wear [min]_Delta,Air temperature [K]_Rolling_Delta,Process temperature [K]_Rolling_Delta,Rotational speed [rpm]_Rolling_Delta,Torque [Nm]_Rolling_Delta,Tool wear [min]_Rolling_Delta
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,299.0,0.07071067811934355,0.10000000000002274,309.41999999999996,0.08366600265382615,0.0,1654.6,148.15971112282853,-349.0,31.2,6.909413868049856,15.7,70.2,3.962322551231792,2.0,0.060000000000002274,0.039999999999997725,12.4,-1.1599999999999995,2.4
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,299.04,0.05477225575145267,0.0,309.43999999999994,0.05477225575118742,-0.10000000000002274,1700.6,155.13639160429122,299.0,29.98,7.530405035587373,-14.399999999999999,72.6,3.6469165057620967,2.0,0.0400000000000091,0.01999999999999318,46.0,-1.2199999999999995,2.4
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,299.06,0.054772255751476026,0.0,309.43999999999994,0.05477225575118742,0.0,1636.8,187.78764602603653,-372.0,33.68,9.25024324004508,19.6,75.4,4.505552130427526,5.0,0.02000000000000455,0.0,-63.8,3.7000000000000006,2.8
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,299.06,0.054772255751476026,-0.10000000000002274,309.43999999999994,0.05477225575118742,0.0,1663.2,183.70138812758057,254.0,32.24,9.10510845624585,-14.100000000000001,78.2,4.658325879540847,2.0,0.0,0.0,26.4,-1.439999999999999,2.8
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.08000000000004,0.044721359551205465,0.10000000000002274,309.43999999999994,0.05477225575118742,0.10000000000002274,1558.8,191.3562123370966,-354.0,37.220000000000006,9.777627524098046,18.1,80.8,4.658325879540847,2.0,0.02000000000000455,0.0,-104.4,4.98,2.6
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.06000000000006,0.054772255751476026,-0.10000000000002274,309.41999999999996,0.044721359550794794,-0.10000000000002274,1616.0,215.13716554793595,459.0,34.52,10.95613983116315,-22.700000000000003,83.6,4.505552130427526,3.0,-0.02000000000000455,-0.02000000000000455,57.2,-2.7,2.8
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.05477225575145267,0.0,309.41999999999996,0.044721359550794794,0.0,1537.6,196.96903309911434,-379.0,39.260000000000005,10.715549449281625,22.799999999999997,86.4,3.6469165057620967,2.0,-0.02000000000000455,0.0,-78.4,4.739999999999999,2.8
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.0,0.07071067811937219,-0.10000000000002274,309.4,0.07071067811914411,-0.0999999999999659,1582.8,194.60267212964987,246.0,36.92,10.644341219634011,-15.799999999999997,88.6,3.6469165057620967,2.0,-0.0400000000000091,-0.01999999999999318,45.2,-2.3400000000000007,2.2
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,298.96000000000004,0.11401754251034976,-0.0999999999999659,309.34,0.15165750888123838,-0.19999999999998863,1556.0,184.60227517557848,-106.0,37.839999999999996,10.091977011468055,2.200000000000003,90.8,3.492849839314601,2.0,-0.039999999999997725,-0.05999999999999091,-26.8,0.9200000000000003,2.2
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.9,0.10000000000046325,0.0,309.28,0.13038404810427826,0.0999999999999659,1578.6,156.11310002687154,-107.0,37.92,10.195685361955798,13.899999999999999,93.2,3.492849839314601,3.0,-0.060000000000002274,-0.060000000000002274,22.6,0.07999999999999971,2.4
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.88,0.08366600265395564,0.0999999999999659,309.24,0.11401754251017529,0.0,1535.2,99.92096877032363,129.0,40.160000000000004,7.712846426579473,-11.899999999999999,95.6,3.974921382870363,3.0,-0.02000000000000455,-0.039999999999997725,-43.4,2.2400000000000007,2.4
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.84,0.05477225575136187,-0.0999999999999659,309.18,0.08366600265379856,-0.0999999999999659,1539.2,94.35147057677473,-142.0,38.34,6.24603874467648,2.5,98.2,4.438468204234434,3.0,-0.039999999999997725,-0.05999999999999091,4.0,-1.819999999999999,2.6
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.84000000000003,0.05477225575136187,0.0999999999999659,309.15999999999997,0.0547722557511336,0.0999999999999659,1482.0,85.27602242131131,-60.0,41.980000000000004,7.219210483148397,11.5,100.8,4.438468204234434,2.0,0.0,-0.02000000000000455,-57.2,3.6400000000000006,2.6
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.84000000000003,0.05477225575136187,-0.0999999999999659,309.16,0.0547722557511336,-0.0999999999999659,1440.2,89.22835872075643,-29.0,45.54,7.119901684714452,1.7999999999999972,104.0,4.949747468305838,5.0,0.0,0.0,-41.8,3.5599999999999996,3.2
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.84,0.05477225575136187,0.0,309.14,0.054772255751168626,0.0,1422.2,95.13516699938037,12.0,44.9,6.9170080237050255,-7.100000000000001,107.0,4.949747468305838,2.0,0.0,-0.01999999999999318,-18.0,-0.6400000000000006,3.0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.82000000000005,0.04472135955105851,0.0,309.12,0.04472135955085043,0.0,1379.6,34.818098741889905,6.0,47.720000000000006,5.458662839926981,5.399999999999999,109.8,4.658325879540852,2.0,-0.01999999999999318,-0.01999999999999318,-42.6,2.819999999999999,2.8
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.82000000000005,0.04472135955105851,0.0,309.12,0.04472135955085043,0.0,1365.4,10.573551910308726,0.0,49.7,2.6879360111430692,-1.6999999999999957,112.4,4.219004621945803,2.0,0.0,0.0,-14.2,1.9799999999999998,2.6
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.04472135955085043,0.0999999999999659,1364.0,8.602325267042263,4.0,49.260000000000005,2.6632686683847178,-0.6000000000000014,115.2,3.4928498393146006,3.0,-0.01999999999999318,0.0,-1.4,-0.44000000000000056,2.8
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.04472135955085043,-0.0999999999999659,1388.4,46.870033070182394,100.0,48.260000000000005,1.9982492337042699,-1.0,118.0,4.690415759823432,5.0,0.0,0.0,24.4,-1.0,2.8
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.04472135955085043,0.0,1413.8,61.20620883537872,17.0,49.0,1.1999999999998774,1.6000000000000014,121.0,5.43139024560011,3.0,0.0,0.0,25.4,0.7400000000000005,3.0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.78000000000003,0.04472135955112841,-0.10000000000002274,309.1,0.07071067811922552,-0.10000000000002274,1508.8,194.91972706732378,354.0,44.0,10.195096860746327,-23.3,124.0,5.43139024560011,2.0,-0.02000000000000455,-0.02000000000000455,95.0,-4.999999999999999,3.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.78000000000003,0.04472135955112841,0.10000000000002274,309.1,0.07071067811922552,0.10000000000002274,1518.8,187.0125664226872,-425.0,43.44,9.918064327276747,20.499999999999996,127.2,4.969909455915674,3.0,0.0,0.0,10.0,-0.5600000000000008,3.2
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.78000000000003,0.04472135955112841,0.0,309.1,0.07071067811922552,0.0999999999999659,1529.4,177.89125891959955,7.0,44.519999999999996,10.856426668107678,7.600000000000001,130.2,3.9623225512317943,2.0,0.0,0.0,10.6,1.0799999999999996,3.0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.07071067811935511,0.0999999999999659,309.12,0.0836660026538682,0.0,1517.4,184.62746274593064,-13.0,43.839999999999996,10.728839639028983,-9.799999999999997,133.2,4.658325879540855,5.0,0.01999999999999318,0.01999999999999318,-12.0,-0.6799999999999997,3.0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.82,0.083666002653993,0.0,309.12,0.0836660026538682,-0.0999999999999659,1791.8,625.3652532720379,1449.0,34.94,19.85253132474545,-39.5,136.2,5.263078946776318,3.0,0.01999999999999318,0.0,274.4,-8.9,3.0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.86,0.054772255751391705,0.0,309.14,0.05477225575118938,0.0,1699.8,649.3271132487846,-1478.0,40.76,20.74844572492117,50.3,139.2,5.118593556827907,2.0,0.039999999999997725,0.02000000000000455,-92.0,5.819999999999999,3.0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.86,0.054772255751391705,-0.0999999999999659,309.12,0.0836660026538682,-0.10000000000002274,1715.6,641.6718787667105,114.0,40.260000000000005,20.611234800467425,-11.100000000000001,142.0,4.690415759823449,2.0,0.0,-0.02000000000000455,15.8,-0.5,2.8
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.84,0.08944271910052706,-0.10000000000002274,309.08000000000004,0.08366600265390556,0.0,1743.6,628.7454174783304,68.0,36.5,19.164941951386115,-8.699999999999996,145.4,4.505552130427543,5.0,-0.02000000000000455,-0.039999999999997725,28.0,-3.7599999999999993,3.4
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.79999999999995,0.10000000000048313,0.0,309.04,0.054772255751332065,0.0,1799.4,603.8466692795448,126.0,33.7,18.796143221416447,-5.0,148.2,4.658325879540866,2.0,-0.039999999999997725,-0.039999999999997725,55.8,-2.8,2.8
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.78000000000003,0.08366600265399853,0.10000000000002274,309.04,0.054772255751332065,0.10000000000002274,1529.6,111.99017814076375,-179.0,40.92,9.417112083860927,10.600000000000001,150.8,4.658325879540866,2.0,-0.01999999999999318,0.0,-269.8,7.220000000000001,2.6
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.76,0.05477225575145072,0.0,309.04,0.054772255751332065,0.0,1548.4,86.13245613588414,-35.0,38.42,5.7058741661553904,1.6999999999999957,153.4,4.219004621945817,2.0,-0.01999999999999318,0.0,18.8,-2.5,2.6
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.76,0.05477225575145072,0.0,309.06,0.054772255751308715,0.0,1551.6,84.01666501355552,36.0,37.720000000000006,5.058853625081425,-2.1000000000000014,156.0,3.162277660168403,2.0,0.0,0.02000000000000455,3.2,-0.7,2.6
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.78,0.04472135955110059,0.0,309.06,0.054772255751308715,-0.10000000000002274,1570.8,97.69953940526027,148.0,36.6,6.260990336999369,-10.799999999999997,158.0,3.162277660168403,2.0,0.02000000000000455,0.0,19.2,-1.1200000000000003,2.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.0,0.0,309.08000000000004,0.04472135955094336,0.10000000000002274,1508.2,101.62529212750142,-283.0,41.46,8.850028248542458,24.9,160.2,3.49284983931462,3.0,0.02000000000000455,0.02000000000000455,-62.6,4.859999999999999,2.2
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.8,0.0,0.0,309.08000000000004,0.04472135955094336,0.0,1484.4,113.72686577937513,15.0,43.84,10.105592511080165,-1.7999999999999972,162.4,3.6469165057621176,2.0,0.0,0.0,-23.8,2.38,2.2
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.8,0.0,0.0,309.06,0.054772255751308715,-0.10000000000002274,1507.4,123.09874085464888,199.0,43.0,10.424730212336408,-14.399999999999999,164.6,3.6469165057621176,2.0,0.0,-0.02000000000000455,23.0,-0.8399999999999992,2.2
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.8,0.0,0.0,309.04,0.054772255751332065,0.0,1570.6,189.76116567938766,237.0,39.519999999999996,13.882254860072246,-15.300000000000004,167.0,3.807886552931978,3.0,0.0,-0.02000000000000455,63.2,-3.4799999999999995,2.4
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.82000000000005,0.04472135955094489,0.0999999999999659,309.04,0.054772255751332065,0.0,1600.8,217.70323837738383,-17.0,38.8,14.606334242375787,3.0,169.4,3.6469165057621176,2.0,0.01999999999999318,0.0,30.2,-0.7200000000000003,2.4
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.86,0.08944271910036779,0.10000000000002274,309.04,0.054772255751332065,0.10000000000002274,1629.8,188.2729401693191,-289.0,35.64,11.833553988553033,12.700000000000003,171.8,3.9623225512318085,3.0,0.039999999999997725,0.0,29.0,-3.1599999999999993,2.4
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.9,0.10000000000024369,0.0,309.04,0.054772255751332065,0.0,1630.0,187.95877207515485,-129.0,34.14,9.363920119266256,6.5,174.2,3.9623225512318085,2.0,0.039999999999997725,0.0,0.2,-1.5,2.4
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.91999999999996,0.08366600265364438,-0.10000000000002274,309.02000000000004,0.08366600265396161,-0.20000000000004547,1647.4,187.58811262977196,285.0,32.24,9.297741661285247,-16.400000000000002,176.6,3.6469165057621176,2.0,0.01999999999999318,-0.02000000000000455,17.4,-1.9000000000000008,2.4
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.91999999999996,0.08366600265364438,-0.0999999999999659,309.0,0.10000000000047216,0.0,1574.8,169.06418899341165,-213.0,36.480000000000004,8.793861495384117,15.400000000000002,179.0,3.807886552931978,3.0,0.0,-0.02000000000000455,-72.6,4.24,2.4
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.9,0.10000000000024369,0.0,308.98,0.10954451150147099,0.0,1517.8,105.008094926058,61.0,37.78,7.1691701053887265,-11.700000000000003,182.0,4.690415759823449,5.0,-0.01999999999999318,-0.02000000000000455,-57.0,1.3,3.0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.88,0.08366600265375648,0.0999999999999659,308.96,0.0894427191005255,0.10000000000002274,1495.2,115.26794871081904,-117.0,43.2,14.470314440260081,33.300000000000004,184.8,5.118593556827906,2.0,-0.02000000000000455,-0.02000000000000455,-22.6,5.42,2.8
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.86,0.05477225575112251,0.0,308.94,0.054772255751389776,0.0,1601.2,206.51561684289157,514.0,38.7,17.00779233175192,-43.1,187.6,4.979959839195508,2.0,-0.02000000000000455,-0.02000000000000455,106.0,-4.5,2.8
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.86,0.05477225575112251,0.0,308.97999999999996,0.08366600265396627,0.10000000000002274,1555.8,210.05761114513325,-472.0,42.059999999999995,16.177546167450718,22.9,190.6,4.505552130427542,3.0,0.0,0.0400000000000091,-45.4,3.3600000000000003,3.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.88,0.04472135955066685,0.0,309.02000000000004,0.08366600265396627,0.0,1536.4,224.4132349038265,-83.0,42.12,16.187556949706753,-1.1000000000000014,193.4,3.646916505762117,2.0,0.01999999999999318,0.0400000000000091,-19.4,0.05999999999999943,2.8
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.91999999999996,0.04472135955053975,0.10000000000002274,309.06,0.054772255751389776,0.0,1549.4,225.61205641543185,223.0,42.64,15.83518234817646,-9.399999999999999,195.6,3.646916505762117,2.0,0.039999999999997725,0.0400000000000091,13.0,0.5200000000000002,2.2
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.91999999999996,0.04472135955053975,-0.10000000000002274,309.06,0.054772255751389776,-0.10000000000002274,1587.6,211.85915132464777,9.0,35.96,9.421411783803919,-2.700000000000003,197.8,3.4928498393146197,2.0,0.0,0.0,38.2,-6.6800000000000015,2.2
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.9,0.07071067811904509,-0.0999999999999659,309.04,0.0894427191005255,-0.10000000000002274,1478.6,112.34010859884367,-222.0,40.78,6.628499075959757,14.400000000000006,200.0,3.1622776601684026,2.0,-0.01999999999999318,-0.02000000000000455,-109.0,4.82,2.2
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,298.88,0.08366600265378366,0.0,309.0,0.10000000000047216,0.0,1480.4,111.87850553167034,82.0,41.260000000000005,7.124113979997748,1.1999999999999957,202.0,3.1622776601684026,2.0,-0.01999999999999318,-0.0400000000000091,1.8,0.4799999999999997,2.0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,298.86,0.08944271910039321,0.0,308.96,0.08944271910052551,0.0,1497.6,95.9468602925598,-6.0,40.64,6.914332939626161,-6.600000000000001,204.0,3.1622776601684026,2.0,-0.01999999999999318,-0.0400000000000091,17.2,-0.6200000000000003,2.0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,298.82,0.044721359550995744,0.0,308.91999999999996,0.044721359551099855,0.0,1458.8,87.04136947452048,-57.0,43.94,7.46511888719794,10.200000000000003,164.0,91.706052144883,-208.0,-0.039999999999997725,-0.0400000000000091,-38.8,3.3,-40.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,298.8,0.0,0.0,308.9,0.0,0.0,1419.0,36.70830968595507,4.0,45.059999999999995,5.422914345626291,-13.600000000000001,124.0,112.29425630903836,2.0,-0.01999999999999318,-0.02000000000000455,-39.8,1.1200000000000003,-40.0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,298.8,0.0,0.0,308.88,0.044721359551169765,-0.0999999999999659,1432.2,29.97832550360314,43.0,45.7,5.83780780773052,12.0,84.0,112.29425630903836,2.0,0.0,-0.01999999999999318,13.2,0.6399999999999991,-40.0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,298.82,0.044721359550995744,0.0999999999999659,308.88,0.044721359551169765,0.0999999999999659,1430.0,27.649593125396674,5.0,45.62,5.802757964967988,-2.3999999999999986,44.6,91.40459507048865,5.0,0.01999999999999318,0.0,-2.2,-0.07999999999999971,-39.4
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,298.84000000000003,0.054772255751253544,0.0,308.88,0.044721359551169765,0.0,1429.6,27.208454568387076,3.0,45.519999999999996,5.8993219949414035,-6.700000000000003,5.2,4.6583258795406515,2.0,0.01999999999999318,0.0,-0.4,-0.1,-39.4
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,298.88,0.08366600265379726,0.10000000000002274,308.9,0.07071067811938578,0.10000000000002274,1443.8,25.033976911389544,16.0,43.239999999999995,5.167978328127871,-0.6999999999999957,7.8,4.6583258795406515,2.0,0.039999999999997725,0.02000000000000455,14.2,-2.28,2.6
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,298.9,0.07071067811906119,-0.10000000000002274,308.9,0.07071067811938578,-0.10000000000002274,1447.8,16.99117417955525,-47.0,45.18,4.430237013975595,7.5,10.4,4.219004621945582,2.0,0.01999999999999318,0.0,4.0,1.9400000000000006,2.6
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,298.93999999999994,0.05477225575090978,0.10000000000002274,308.93999999999994,0.05477225575142223,0.10000000000002274,1519.6,159.8821440937042,382.0,40.559999999999995,8.475435092076355,-20.8,13.0,3.1622776601680918,2.0,0.039999999999997725,0.039999999999997725,71.8,-4.619999999999999,2.6
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,298.96,0.05477225575082934,0.0,308.9599999999999,0.05477225575139888,0.0,1516.8,161.51996780584125,-368.0,39.839999999999996,7.869752219733434,17.099999999999998,15.2,3.492849839314336,3.0,0.02000000000000455,0.02000000000000455,-2.8,-0.7200000000000003,2.2
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,298.97999999999996,0.044721359550286346,0.0,308.98,0.04472135955105379,0.0,1535.0,157.61345120261782,108.0,38.040000000000006,8.591449237468572,-12.099999999999998,18.0,4.690415759823235,5.0,0.02000000000000455,0.02000000000000455,18.2,-1.7999999999999994,2.8
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,298.97999999999996,0.044721359550286346,0.0,308.98,0.04472135955105379,0.0,1525.0,164.29242222330276,-125.0,39.06,9.17976034545561,13.400000000000002,20.8,5.118593556827713,2.0,0.0,0.0,-10.0,1.0200000000000002,2.8
