[20:59:45] --- Logging Initialized for main.py ---
[20:59:45] Log file: logs/main.py@2026-01-28_20-59-45.log
[20:59:45] Fitting 5 folds for each of 50 candidates, totalling 250 fits
[20:59:56] ========== Model Features =========
[20:59:56] Air temperature [K]
[20:59:56] Process temperature [K]
[20:59:56] Rotational speed [rpm]
[20:59:56] Torque [Nm]
[20:59:56] Tool wear [min]
[20:59:56] Air temperature [K]_Rolling_Mean
[20:59:56] Air temperature [K]_Volatility
[20:59:56] Air temperature [K]_Delta
[20:59:56] Process temperature [K]_Rolling_Mean
[20:59:56] Process temperature [K]_Volatility
[20:59:56] Process temperature [K]_Delta
[20:59:56] Rotational speed [rpm]_Rolling_Mean
[20:59:56] Rotational speed [rpm]_Volatility
[20:59:56] Rotational speed [rpm]_Delta
[20:59:56] Torque [Nm]_Rolling_Mean
[20:59:56] Torque [Nm]_Volatility
[20:59:56] Torque [Nm]_Delta
[20:59:56] Tool wear [min]_Rolling_Mean
[20:59:56] Tool wear [min]_Volatility
[20:59:56] Tool wear [min]_Delta
[20:59:56] Power_Factor_Rolling

[20:59:56] === Model Evaluation (Test Set) ===
[20:59:56] ROC-AUC score :0.897
[20:59:56] risk_tolerance used : 0.095
[20:59:56] TP: 32 | FP: 554
[20:59:56] FN: 7 | TN: 1407

[20:59:56] Rates:
[20:59:56] Recall (TPR) : 0.821
[20:59:56] Precision    : 0.055
[20:59:56] False PosRate: 0.283
[20:59:56] ====================================
[20:59:56] Loaded RiskEvalModel from disk.
[20:59:56] Loaded classifier for TWF
[20:59:56] Loaded classifier for HDF
[20:59:56] Loaded classifier for PWF
[20:59:56] Loaded classifier for OSF
[20:59:56] All models ready.
[20:59:56] Step   | Risk Prob  | Alert      | Diagnosis
[20:59:56] 41     | 0.0047     | HEALTHY    | None
[20:59:56] 42     | 0.0293     | HEALTHY    | None
[20:59:56] 43     | 0.0221     | HEALTHY    | None
[20:59:56] 44     | 0.0037     | HEALTHY    | None
[20:59:56] 45     | 0.0022     | HEALTHY    | None
[20:59:56] 46     | 0.1437     | HEALTHY    | None
[20:59:56] 47     | 0.0115     | HEALTHY    | None
[20:59:56] 48     | 0.0095     | HEALTHY    | None
[20:59:56] 49     | 0.0086     | HEALTHY    | None
[20:59:56] 50     | 0.0033     | HEALTHY    | None
[20:59:56] 51     | 0.1172     | HEALTHY    | None
[20:59:56] 52     | 0.0023     | HEALTHY    | None
[20:59:56] 53     | 0.0489     | HEALTHY    | None
[20:59:56] 54     | 0.0071     | HEALTHY    | None
[20:59:56] 55     | 0.0486     | HEALTHY    | None
[20:59:56] 56     | 0.0151     | HEALTHY    | None
[20:59:56] 57     | 0.0256     | HEALTHY    | None
[20:59:56] 58     | 0.0089     | HEALTHY    | None
[20:59:56] 59     | 0.0373     | HEALTHY    | None
[20:59:56] 60     | 0.0072     | HEALTHY    | None
[20:59:56] 61     | 0.0083     | HEALTHY    | None
[20:59:56] 62     | 0.0153     | HEALTHY    | None
[20:59:56] 63     | 0.0989     | HEALTHY    | None
[20:59:56] 64     | 0.0186     | HEALTHY    | None
[20:59:56] 65     | 0.0139     | HEALTHY    | None
[20:59:56] 66     | 0.0050     | HEALTHY    | None
[20:59:56] 67     | 0.0079     | HEALTHY    | None
[20:59:56] 68     | 0.0254     | HEALTHY    | None
[20:59:56] 69     | 0.0237     | HEALTHY    | None
[20:59:56] 70     | 0.0095     | HEALTHY    | None
[20:59:56] 71     | 0.0131     | HEALTHY    | None
[20:59:56] 72     | 0.0059     | HEALTHY    | None
[20:59:56] 73     | 0.0176     | HEALTHY    | None
[20:59:56] 74     | 0.0258     | HEALTHY    | None
[20:59:56] 75     | 0.0314     | HEALTHY    | None
[20:59:56] 76     | 0.0232     | HEALTHY    | None
[20:59:56] 77     | 0.0410     | HEALTHY    | None
[20:59:56] 78     | 0.0366     | HEALTHY    | None
[20:59:56] 79     | 0.0053     | HEALTHY    | None
[20:59:56] 80     | 0.0111     | HEALTHY    | None
[20:59:56] 81     | 0.0443     | HEALTHY    | None
[20:59:56] 82     | 0.2940     | HEALTHY    | None
[20:59:56] 83     | 0.0875     | HEALTHY    | None
[20:59:56] 84     | 0.0315     | HEALTHY    | None
[20:59:56] 85     | 0.0814     | HEALTHY    | None
[20:59:56] 86     | 0.1219     | HEALTHY    | None
[20:59:56] 87     | 0.0224     | HEALTHY    | None
[20:59:56] 88     | 0.0474     | HEALTHY    | None
[20:59:56] 89     | 0.0794     | HEALTHY    | None
[20:59:56] 90     | 0.0319     | HEALTHY    | None
[20:59:56] 91     | 0.0869     | HEALTHY    | None
[20:59:56] 92     | 0.7837     | WARNING    | RandomFailure
[20:59:57] 93     | 0.0901     | HEALTHY    | None
[20:59:57] 94     | 0.0175     | HEALTHY    | None
[20:59:57] 95     | 0.0124     | HEALTHY    | None
[20:59:57] 96     | 0.2744     | HEALTHY    | None
[20:59:57] 97     | 0.0354     | HEALTHY    | None
[20:59:57] 98     | 0.0366     | HEALTHY    | None
[20:59:57] 99     | 0.0250     | HEALTHY    | None
[20:59:57] 100    | 0.0128     | HEALTHY    | None
[20:59:57] 101    | 0.0137     | HEALTHY    | None
[20:59:57] 102    | 0.0908     | HEALTHY    | None
[20:59:57] 103    | 0.1269     | HEALTHY    | None
[20:59:57] 104    | 0.0789     | HEALTHY    | None
[20:59:57] 105    | 0.0402     | HEALTHY    | None
[20:59:57] 106    | 0.2441     | HEALTHY    | None
[20:59:57] 107    | 0.0211     | HEALTHY    | None
[20:59:57] 108    | 0.1355     | HEALTHY    | None
[20:59:57] 109    | 0.0212     | HEALTHY    | None
[20:59:57] 110    | 0.0295     | HEALTHY    | None
[20:59:57] 111    | 0.2491     | HEALTHY    | None
[20:59:57] 112    | 0.0447     | HEALTHY    | None
[20:59:57] 113    | 0.0127     | HEALTHY    | None
[20:59:57] 114    | 0.0158     | HEALTHY    | None
[20:59:57] 115    | 0.3727     | HEALTHY    | None
[20:59:57] 116    | 0.6520     | WARNING    | RandomFailure
[20:59:57] 117    | 0.0092     | HEALTHY    | None
[20:59:57] 118    | 0.0257     | HEALTHY    | None
[20:59:57] 119    | 0.0048     | HEALTHY    | None
[20:59:57] 120    | 0.0581     | HEALTHY    | None
[20:59:57] 121    | 0.0038     | HEALTHY    | None
[20:59:57] 122    | 0.0069     | HEALTHY    | None
[20:59:57] 123    | 0.0415     | HEALTHY    | None
[20:59:57] 124    | 0.0023     | HEALTHY    | None
[20:59:57] 125    | 0.0063     | HEALTHY    | None
[20:59:57] 126    | 0.0195     | HEALTHY    | None
[20:59:57] 127    | 0.0018     | HEALTHY    | None
[20:59:57] 128    | 0.0043     | HEALTHY    | None
[20:59:57] 129    | 0.0039     | HEALTHY    | None
[20:59:57] 130    | 0.0070     | HEALTHY    | None
[20:59:57] 131    | 0.0079     | HEALTHY    | None
[20:59:57] 132    | 0.0443     | HEALTHY    | None
[20:59:57] 133    | 0.1006     | HEALTHY    | None
[20:59:57] 134    | 0.0291     | HEALTHY    | None
[20:59:57] 135    | 0.0108     | HEALTHY    | None
[20:59:57] 136    | 0.0056     | HEALTHY    | None
[20:59:57] 137    | 0.0047     | HEALTHY    | None
[20:59:57] 138    | 0.0028     | HEALTHY    | None
[20:59:57] 139    | 0.1361     | HEALTHY    | None
[20:59:57] 140    | 0.0193     | HEALTHY    | None
[20:59:57] 141    | 0.0047     | HEALTHY    | None
[20:59:57] 142    | 0.0513     | HEALTHY    | None
[20:59:57] 143    | 0.1655     | HEALTHY    | None
[20:59:57] 144    | 0.0108     | HEALTHY    | None
[20:59:57] 145    | 0.0420     | HEALTHY    | None
[20:59:57] 146    | 0.0072     | HEALTHY    | None
[20:59:57] 147    | 0.0031     | HEALTHY    | None
[20:59:57] 148    | 0.0111     | HEALTHY    | None
[20:59:57] 149    | 0.0109     | HEALTHY    | None
[20:59:57] 150    | 0.1718     | HEALTHY    | None
[20:59:57] 151    | 0.0194     | HEALTHY    | None
[20:59:57] 152    | 0.0231     | HEALTHY    | None
[20:59:57] 153    | 0.0539     | HEALTHY    | None
[20:59:57] 154    | 0.0522     | HEALTHY    | None
[20:59:57] 155    | 0.1342     | HEALTHY    | None
[20:59:57] 156    | 0.1559     | HEALTHY    | None
[20:59:57] 157    | 0.0113     | HEALTHY    | None
[20:59:57] 158    | 0.1420     | HEALTHY    | None
[20:59:57] 159    | 0.0238     | HEALTHY    | None
[20:59:57] 160    | 0.0316     | HEALTHY    | None
[20:59:57] 161    | 0.0151     | HEALTHY    | None
[20:59:57] 162    | 0.0143     | HEALTHY    | None
[20:59:57] 163    | 0.0247     | HEALTHY    | None
[20:59:57] 164    | 0.0241     | HEALTHY    | None
[20:59:57] 165    | 0.0168     | HEALTHY    | None
[20:59:57] 166    | 0.0121     | HEALTHY    | None
[20:59:57] 167    | 0.0116     | HEALTHY    | None
[20:59:57] 168    | 0.0726     | HEALTHY    | None
[20:59:57] 169    | 0.0328     | HEALTHY    | None
[20:59:57] 170    | 0.0271     | HEALTHY    | None
[20:59:57] 171    | 0.2449     | HEALTHY    | None
[20:59:57] 172    | 0.0501     | HEALTHY    | None
[20:59:57] 173    | 0.0056     | HEALTHY    | None
[20:59:57] 174    | 0.0151     | HEALTHY    | None
[20:59:57] 175    | 0.1625     | HEALTHY    | None
[20:59:57] 176    | 0.0593     | HEALTHY    | None
[20:59:57] 177    | 0.0855     | HEALTHY    | None
[20:59:57] 178    | 0.0831     | HEALTHY    | None
[20:59:57] 179    | 0.2925     | HEALTHY    | None
[20:59:57] 180    | 0.0375     | HEALTHY    | None
[20:59:57] 181    | 0.1204     | HEALTHY    | None
[20:59:57] 182    | 0.0215     | HEALTHY    | None
[20:59:57] 183    | 0.0204     | HEALTHY    | None
[20:59:57] 184    | 0.1148     | HEALTHY    | None
[20:59:57] 185    | 0.0765     | HEALTHY    | None
[20:59:57] 186    | 0.1939     | HEALTHY    | None
[20:59:57] 187    | 0.0242     | HEALTHY    | None
[20:59:57] 188    | 0.1585     | HEALTHY    | None
[20:59:57] 189    | 0.0692     | HEALTHY    | None
[20:59:57] 190    | 0.0618     | HEALTHY    | None
[20:59:57] 191    | 0.0921     | HEALTHY    | None
[20:59:57] 192    | 0.0271     | HEALTHY    | None
[20:59:57] 193    | 0.8765     | CRITICAL   | OSF
[20:59:57] 194    | 0.0602     | HEALTHY    | None
[20:59:57] 195    | 0.2521     | HEALTHY    | None
[20:59:57] 196    | 0.7692     | WARNING    | OSF
[20:59:57] 197    | 0.1148     | HEALTHY    | None
[20:59:57] 198    | 0.2219     | HEALTHY    | None
[20:59:57] 199    | 0.2559     | HEALTHY    | None
[20:59:57] 200    | 0.0374     | HEALTHY    | None
