[21:08:03] --- Logging Initialized for main.py ---
[21:08:03] Log file: logs/main.py@2026-01-28_21-08-03.log
[21:08:03] Fitting 5 folds for each of 50 candidates, totalling 250 fits
[21:08:08] ========== Model Features =========
[21:08:08] Air temperature [K]
[21:08:08] Process temperature [K]
[21:08:08] Rotational speed [rpm]
[21:08:08] Torque [Nm]
[21:08:08] Tool wear [min]
[21:08:08] Air temperature [K]_Rolling_Mean
[21:08:08] Air temperature [K]_Volatility
[21:08:08] Air temperature [K]_Delta
[21:08:08] Process temperature [K]_Rolling_Mean
[21:08:08] Process temperature [K]_Volatility
[21:08:08] Process temperature [K]_Delta
[21:08:08] Rotational speed [rpm]_Rolling_Mean
[21:08:08] Rotational speed [rpm]_Volatility
[21:08:08] Rotational speed [rpm]_Delta
[21:08:08] Torque [Nm]_Rolling_Mean
[21:08:08] Torque [Nm]_Volatility
[21:08:08] Torque [Nm]_Delta
[21:08:08] Tool wear [min]_Rolling_Mean
[21:08:08] Tool wear [min]_Volatility
[21:08:08] Tool wear [min]_Delta
[21:08:08] Power_Factor_Rolling

[21:08:08] === Model Evaluation (Test Set) ===
[21:08:08] ROC-AUC score :0.897
[21:08:08] risk_tolerance used : 0.095
[21:08:08] TP: 32 | FP: 554
[21:08:08] FN: 7 | TN: 1407

[21:08:08] Rates:
[21:08:08] Recall (TPR) : 0.821
[21:08:08] Precision    : 0.055
[21:08:08] False PosRate: 0.283
[21:08:08] ====================================
[21:08:09] Loaded RiskEvalModel from disk.
[21:08:09] Loaded classifier for TWF
[21:08:09] Loaded classifier for HDF
[21:08:09] Loaded classifier for PWF
[21:08:09] Loaded classifier for OSF
[21:08:09] All models ready.
[21:08:09] Step   | Risk Prob  | Alert      | Diagnosis
[21:08:09] 148    | 0.0111     | HEALTHY    | None
[21:08:09] 149    | 0.0109     | HEALTHY    | None
[21:08:09] 150    | 0.1718     | HEALTHY    | None
[21:08:09] 151    | 0.0194     | HEALTHY    | None
[21:08:09] 152    | 0.0231     | HEALTHY    | None
[21:08:09] 153    | 0.0539     | HEALTHY    | None
[21:08:09] 154    | 0.0522     | HEALTHY    | None
[21:08:09] 155    | 0.1342     | HEALTHY    | None
[21:08:09] 156    | 0.1559     | HEALTHY    | None
[21:08:09] 157    | 0.0113     | HEALTHY    | None
[21:08:09] 158    | 0.1420     | HEALTHY    | None
[21:08:09] 159    | 0.0238     | HEALTHY    | None
[21:08:09] 160    | 0.0316     | HEALTHY    | None
[21:08:09] 161    | 0.0151     | HEALTHY    | None
[21:08:09] 162    | 0.0143     | HEALTHY    | None
[21:08:09] 163    | 0.0247     | HEALTHY    | None
[21:08:09] 164    | 0.0241     | HEALTHY    | None
[21:08:09] 165    | 0.0168     | HEALTHY    | None
[21:08:09] 166    | 0.0121     | HEALTHY    | None
[21:08:09] 167    | 0.0116     | HEALTHY    | None
[21:08:09] 168    | 0.0726     | HEALTHY    | None
[21:08:09] 169    | 0.0328     | HEALTHY    | None
[21:08:09] 170    | 0.0271     | HEALTHY    | None
[21:08:09] 171    | 0.2449     | HEALTHY    | None
[21:08:09] 172    | 0.0501     | HEALTHY    | None
[21:08:09] 173    | 0.0056     | HEALTHY    | None
[21:08:09] 174    | 0.0151     | HEALTHY    | None
[21:08:09] 175    | 0.1625     | HEALTHY    | None
[21:08:09] 176    | 0.0593     | HEALTHY    | None
[21:08:09] 177    | 0.0855     | HEALTHY    | None
[21:08:09] 178    | 0.0831     | HEALTHY    | None
[21:08:09] 179    | 0.2925     | HEALTHY    | None
[21:08:09] 180    | 0.0375     | HEALTHY    | None
[21:08:09] 181    | 0.1204     | HEALTHY    | None
[21:08:09] 182    | 0.0215     | HEALTHY    | None
[21:08:09] 183    | 0.0204     | HEALTHY    | None
[21:08:09] 184    | 0.1148     | HEALTHY    | None
[21:08:09] 185    | 0.0765     | HEALTHY    | None
[21:08:09] 186    | 0.1939     | HEALTHY    | None
[21:08:09] 187    | 0.0242     | HEALTHY    | None
[21:08:09] 188    | 0.1585     | HEALTHY    | None
[21:08:09] 189    | 0.0692     | HEALTHY    | None
[21:08:09] 190    | 0.0618     | HEALTHY    | None
[21:08:09] 191    | 0.0921     | HEALTHY    | None
[21:08:09] 192    | 0.0271     | HEALTHY    | None
[21:08:10] 193    | 0.8765     | CRITICAL   | OSF
[21:08:10] 194    | 0.0602     | HEALTHY    | None
[21:08:10] 195    | 0.2521     | HEALTHY    | None
[21:08:10] 196    | 0.7692     | WARNING    | OSF
[21:08:10] 197    | 0.1148     | HEALTHY    | None
[21:08:10] 198    | 0.2219     | HEALTHY    | None
[21:08:10] 199    | 0.2559     | HEALTHY    | None
[21:08:10] 200    | 0.0374     | HEALTHY    | None
